cnpj_base,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,pais,data_inicio_atividade,cnae_principal,cnaes_secundarios,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,ddd1,telefone1,ddd2,telefone2,ddd_fax,fax,email1,email2,email3
77633091,6945,13,1,BETA EIRELI,02,20101201,MUDANCA ENDERECO,,,20160811,6134207,"6853584,9170528,5301754,7730886",ESTRADA,SETEMBRO,8051,,VILA NOVA,29565-552,ES,3205002,27,33005911,,,,,contato@betaeireliserra.com.br,,
73214389,5896,26,1,DISTRIBUIDORA ME,08,20190324,,,,20150121,4806688,8265795,RUA,PAULISTA,4643,,VILA NOVA,87004-528,PR,4115200,44,81701225,44,94445893,,,contato@distribuidormaring.com.br,,
66880548,2328,92,1,BETA ME,08,20010829,REGULARIZACAO,,,19980906,7214624,"3215167,4886402,7357182,5335868",ALAMEDA,TIRADENTES,8320,GALPAO,BOA VISTA,80189-592,PR,4106902,41,86401301,,,,,contato@betamecuriti.com.br,,
32474983,2734,23,2,DISTRIBUIDORA EXPRESS,02,20080328,,,,20110517,5353127,9073461,RODOVIA,FLORES,7344,ANDAR 3,SANTO ANTÔNIO,36696-921,MG,3136702,32,67218455,32,60142686,,,contato@distribuidorjuizde.com.br,,
76294551,8717,59,2,GLOBAL POPULAR,02,20211118,REORGANIZACAO SOCIETARIA,,,20230928,7099628,"2172622,3699015,7555968,9837590",RODOVIA,PAULISTA,5920,ANDAR 3,JARDIM AMÉRICA,20652-895,RJ,3304557,21,76253950,,,,,contato@globalpopulariodej.com.br,contato@globalpopulariodej.com.br,
71531065,7510,48,2,BRASIL LTDA,02,20100721,REGULARIZACAO,,,19961027,2985588,"5197355,2752683,2004646,8716868",ALAMEDA,SETEMBRO,5316,,CENTRO,50532-673,PE,2611606,81,37155777,,,,,contato@brasilltdarecife.com.br,,
33266319,4466,29,1,BRASIL POPULAR,02,20140305,REGULARIZACAO,,,20160306,9217316,"1183062,8348340",TRAVESSA,RIO BRANCO,1151,GALPAO,INDUSTRIAL,74840-990,GO,5208707,62,36825752,62,21191830,,,contato@brasilpopulagoiâni.com.br,,
20840174,7806,47,1,GLOBAL CENTRAL,08,20090225,,,,20010222,4699391,"8006454,4612610,9929860",RUA,RIO BRANCO,3148,LOJA 2,INDUSTRIAL,68924-584,AP,1600303,96,56728404,,,,,contato@globalcentramacapá.com.br,,
01748014,2142,61,1,DISTRIBUIDORA LTDA,02,20200426,MUDANCA ENDERECO,,,20170329,6738852,"6084921,4693305,5466271",TRAVESSA,PAULISTA,9208,,SÃO JOSÉ,77437-610,TO,1721000,63,50597617,63,44797484,,,contato@distribuidorpalmas.com.br,,
99967871,6304,90,1,SERVTEC DO BAIRRO,02,20180916,,,,20220908,6246880,2404330,TRAVESSA,RIO BRANCO,5733,GALPAO,SANTO ANTÔNIO,38200-791,MG,3170206,34,28512687,,,,,contato@servtecdobaiuberlâ.com.br,,contato@servtecdobaiuberlâ.com.br
33127676,8946,34,1,SERVTEC LTDA,02,20180623,,,,20161117,4353597,"5197571,3597480",TRAVESSA,DOS ANDRADAS,826,ANDAR 3,SANTO ANTÔNIO,13417-384,SP,3509502,19,47749967,,,,,contato@servtecltdacampin.com.br,,
03369720,8868,09,2,LOJA DO BAIRRO,02,20030127,REGULARIZACAO,,,20010303,4970001,5122263,AVENIDA,BRASIL,6807,GALPAO,CENTRO,90406-682,RS,4314902,51,79883504,,,51,49673786,contato@lojadobairroportoa.com.br,,
40260456,5918,16,1,DISTRIBUIDORA MAX,02,20011229,,,,19930927,4264908,"4621581,7486460,7197323",ESTRADA,GETULIO VARGAS,2783,GALPAO,SÃO JOSÉ,78329-442,MT,5103403,65,59529787,,,,,contato@distribuidorcuiabá.com.br,,
37327243,7193,51,2,MERCADINHO EXPRESS,02,20201212,,,,19991216,1197775,1787494,TRAVESSA,RIO BRANCO,2157,ANDAR 3,INDUSTRIAL,96499-694,RS,4314407,53,49386588,,,,,contato@mercadinhoexpelota.com.br,,
78535842,5335,92,1,MERCADINHO EIRELI,08,20180815,REORGANIZACAO SOCIETARIA,,,20030409,3276360,"5426219,5408249",TRAVESSA,PAULISTA,7057,FUNDOS,SANTA LUZIA,13567-981,SP,3509502,19,63309010,,,,,contato@mercadinhoeicampin.com.br,,
72571674,2682,65,2,GLOBAL MAX,02,20150304,REGULARIZACAO,,,20181218,7243669,"7200646,7983896,9783148,9315390",RODOVIA,TIRADENTES,9348,FUNDOS,SANTA LUZIA,01352-569,SP,3550308,11,35407172,,,,,contato@globalmaxsãopau.com.br,,
00448345,4269,12,1,BETA EXPRESS,08,20250522,MUDANCA ENDERECO,,,20080215,7742471,4319144,RODOVIA,PAULISTA,3073,LOJA 2,INDUSTRIAL,29280-870,ES,3205309,27,68494709,,,,,contato@betaexpressvitóri.com.br,,
20812709,0134,57,1,BETA LTDA,02,20050126,REGULARIZACAO,,,20030612,3225300,"1423570,4338442,2534837,5926203",RODOVIA,SETEMBRO,6191,,VILA NOVA,88800-455,SC,4205407,48,56277316,,,,,contato@betaltdafloria.com.br,,
39521538,2704,86,1,DISTRIBUIDORA MAX,08,20011029,MUDANCA ENDERECO,,,20020327,1160775,"7655623,3667867",ESTRADA,GETULIO VARGAS,2746,FUNDOS,SANTA LUZIA,44148-350,BA,2910800,75,91142353,75,47836063,75,23578575,contato@distribuidorfeirad.com.br,,
21288948,7892,76,1,BETA MAX,08,20210213,REORGANIZACAO SOCIETARIA,,,19990207,3496081,"2178049,1575278,6187480",AVENIDA,FLORES,10,,VILA NOVA,79714-670,MS,5002704,67,47791924,67,49562581,,,contato@betamaxcampog.com.br,,
49907857,8416,48,2,GAMA DO BAIRRO,08,20110521,MUDANCA ENDERECO,,,20000930,5463418,"8153768,4251298,5345760",AVENIDA,FLORES,8703,GALPAO,INDUSTRIAL,32046-504,MG,3118601,31,78988449,,,,,contato@gamadobairrocontag.com.br,,
29702914,1461,22,2,SERVTEC ME,08,20130302,REGULARIZACAO,,,20010610,6387408,6692493,RODOVIA,BRASIL,6601,SALA 101,SANTO ANTÔNIO,90023-007,RS,4314902,51,91404636,,,,,contato@servtecmeportoa.com.br,contato@servtecme2portoa.com.br,
67201057,3420,94,2,BETA DO BAIRRO,02,20240409,REORGANIZACAO SOCIETARIA,,,20241103,3715514,"5834357,3658571",ALAMEDA,DOS ANDRADAS,8428,ANDAR 3,CENTRO,89480-644,SC,4209102,47,92391249,,,,,contato@betadobairrojoinvi.com.br,,
61681549,4674,74,2,BETA ME,02,20211213,MUDANCA ENDERECO,,,20090102,1550222,"3573619,8795134,5975026",AVENIDA,TIRADENTES,4262,GALPAO,BOA VISTA,65076-920,MA,2111300,98,65307881,98,89497241,,,contato@betamesãoluí.com.br,,
51628164,4893,03,1,BETA LTDA,02,20090704,MUDANCA ENDERECO,,,20041202,2854971,"3691276,3526954,7549546,2849396",RODOVIA,PAULISTA,1907,,SANTA LUZIA,07866-573,SP,3518800,11,21377327,,,,,contato@betaltdaguarul.com.br,,
38660995,9912,24,2,GAMA DO BAIRRO,08,20110620,MUDANCA ENDERECO,,,19911103,2910705,4791481,TRAVESSA,BRASIL,7571,GALPAO,CENTRO,38441-954,MG,3170206,34,52662887,34,52661666,,,contato@gamadobairrouberlâ.com.br,,
75012933,6377,11,1,COMERCIAL LTDA,02,20181229,REORGANIZACAO SOCIETARIA,,,20180919,3906158,2222869,RUA,RIO BRANCO,6494,SALA 101,SANTO ANTÔNIO,57093-070,AL,2704302,82,43933593,82,39688240,,,contato@comercialltdmaceió.com.br,,contato@comercialltdmaceió.com.br
15152994,1277,51,1,MERCADINHO MAX,02,20010930,REGULARIZACAO,,,19900225,1635605,"5583897,8413718",RUA,PAULISTA,2126,LOJA 2,SANTA LUZIA,78719-726,MT,5103403,65,47661302,,,,,contato@mercadinhomacuiabá.com.br,,
86787694,0919,17,2,DISTRIBUIDORA POPULAR,02,20181104,,,,19950322,2215502,"7292518,4720464,3319049,8587768",TRAVESSA,DOS ANDRADAS,6230,FUNDOS,SÃO JOSÉ,60980-383,CE,2304400,85,96737949,,,,,contato@distribuidorfortal.com.br,,
48766345,8259,17,2,GLOBAL LTDA,08,20181113,REORGANIZACAO SOCIETARIA,,,20080613,7482532,"6952793,6196467",ALAMEDA,RIO BRANCO,1762,FUNDOS,INDUSTRIAL,24754-804,RJ,3303302,21,41587371,21,62068943,,,contato@globalltdaniteró.com.br,,
34499221,1734,69,1,GLOBAL ME,02,20190216,REGULARIZACAO,,,19990819,6056861,"5148887,4668866,5612338",ALAMEDA,GETULIO VARGAS,2591,GALPAO,SANTA LUZIA,68743-751,AP,1600303,96,76227767,,,,,contato@globalmemacapá.com.br,,
57975251,8196,78,2,COMERCIAL ME,08,20061226,REGULARIZACAO,,,20050323,9913742,"9386180,1244761,6584263",RODOVIA,PAULISTA,6470,ANDAR 3,VILA NOVA,29953-230,ES,3205200,27,26451117,,,,,contato@comercialmevilave.com.br,,
75149843,4209,11,2,DISTRIBUIDORA EIRELI,08,20170124,,,,20250607,6809701,9671370,RUA,TIRADENTES,6989,SALA 101,SANTA LUZIA,25205-179,RJ,3301702,21,66543048,,,,,contato@distribuidorduqued.com.br,,
74531076,6039,09,2,SERVTEC LTDA,08,20050822,MUDANCA ENDERECO,,,20040623,6500545,"4154240,3190222,8796324,9112074",TRAVESSA,TIRADENTES,3491,LOJA 2,VILA NOVA,90041-478,RS,4314902,51,42198041,,,,,contato@servtecltdaportoa.com.br,,
75169697,2636,98,1,DISTRIBUIDORA LTDA,08,20160417,REGULARIZACAO,,,20041221,3155748,"4925282,1873172",ESTRADA,TIRADENTES,2899,,VILA NOVA,32938-981,MG,3118601,31,35703560,31,74154391,,,contato@distribuidorcontag.com.br,,
17606951,9511,13,1,DISTRIBUIDORA LTDA,08,20051230,REORGANIZACAO SOCIETARIA,,,20150223,8490200,5883680,ESTRADA,FLORES,4034,,CENTRO,40477-262,BA,2927408,71,89438804,71,85656984,71,71425670,contato@distribuidorsalvad.com.br,,
10016389,1203,71,2,SERVTEC ME,02,20201228,,,,20050921,7867100,"6275034,8553974",ALAMEDA,FLORES,2337,,CENTRO,65351-949,MA,2111300,98,86976567,,,,,contato@servtecmesãoluí.com.br,,
39367797,6029,30,1,LOJA EXPRESS,08,20210712,MUDANCA ENDERECO,,,19981103,4427975,9514716,ALAMEDA,TIRADENTES,2372,ANDAR 3,SANTA LUZIA,36122-339,MG,3136702,32,69107371,32,79967359,,,contato@lojaexpressjuizde.com.br,,
07726890,2117,19,1,BRASIL CENTRAL,08,20020325,,,,19901212,9464685,"8284953,5327819,2255564",AVENIDA,GETULIO VARGAS,7784,SALA 101,JARDIM AMÉRICA,44180-733,BA,2910800,75,61067166,,,,,contato@brasilcentrafeirad.com.br,,
37944452,3877,71,2,COMERCIAL EIRELI,08,20240130,,,,20211115,9887324,"3559272,4321127",ESTRADA,GETULIO VARGAS,3798,LOJA 2,VILA NOVA,80604-493,PR,4106902,41,21264177,,,,,contato@comercialeircuriti.com.br,,
62671672,3073,62,1,MERCADINHO MAX,08,20171101,REGULARIZACAO,,,20031011,3427540,"1318408,9900019,9856884",ALAMEDA,BRASIL,6457,GALPAO,INDUSTRIAL,58498-238,PB,2507507,83,60215662,,,,,contato@mercadinhomajoãope.com.br,,
84903513,7974,01,2,SERVTEC ME,02,20230728,,,,20071009,5856447,"7857658,3601623,1996530",AVENIDA,PAULISTA,1991,FUNDOS,INDUSTRIAL,60354-700,CE,2304400,85,52819666,,,,,contato@servtecmefortal.com.br,,
77688894,4758,25,2,COMERCIAL DO BAIRRO,08,20020824,,,,20030716,1570451,1967344,ALAMEDA,SETEMBRO,4244,GALPAO,SÃO JOSÉ,65557-060,MA,2111300,98,42036588,,,,,contato@comercialdobsãoluí.com.br,,
19655820,9182,86,1,MERCADINHO DO BAIRRO,08,20020809,,,,20140529,8433533,"3694287,5621056,7511634,6984684",TRAVESSA,TIRADENTES,5491,LOJA 2,JARDIM AMÉRICA,29115-015,ES,3205309,27,44829058,,,,,contato@mercadinhodovitóri.com.br,,
65954738,4927,03,2,GLOBAL CENTRAL,08,20220103,MUDANCA ENDERECO,,,20251031,6211593,"9370262,5846769,8449607",RUA,GETULIO VARGAS,833,LOJA 2,SANTO ANTÔNIO,60862-767,CE,2304400,85,80164335,,,,,contato@globalcentrafortal.com.br,,
44489781,3311,66,1,GAMA ME,08,20211027,,,,19951114,2922135,"8021855,1978039",RODOVIA,DOS ANDRADAS,2539,,VILA NOVA,40334-546,BA,2927408,71,92188776,71,56754054,,,contato@gamamesalvad.com.br,,
91636655,6151,73,2,GAMA POPULAR,08,20110813,MUDANCA ENDERECO,,,20000213,8507324,"9790529,5339235,4526737",ALAMEDA,GETULIO VARGAS,6853,GALPAO,SANTO ANTÔNIO,32391-266,MG,3118601,31,27743198,,,,,contato@gamapopularcontag.com.br,,
77582731,1556,04,2,DISTRIBUIDORA DO BAIRRO,02,20190524,REGULARIZACAO,,,20060523,9121849,"5108880,6499593",ESTRADA,TIRADENTES,2680,ANDAR 3,BOA VISTA,69601-208,AM,1302603,92,28042279,,,,,contato@distribuidormanaus.com.br,,
44599847,4034,24,2,GAMA ME,02,20160203,REORGANIZACAO SOCIETARIA,,,19930725,1116739,"2014929,3420564",RODOVIA,DOS ANDRADAS,5476,SALA 101,SANTA LUZIA,36851-048,MG,3136702,32,54308368,,,,,contato@gamamejuizde.com.br,,
74052985,1623,85,1,ALFA ME,08,20211118,,,,19911008,8369434,"2226476,4138145,9960820,5184056",AVENIDA,SETEMBRO,8647,,BOA VISTA,13909-491,SP,3509502,19,60523074,,,,,contato@alfamecampin.com.br,,
43092987,5942,64,1,GLOBAL ME,08,20110417,REGULARIZACAO,,,20121101,5902666,"1876031,7232739,2059622,2270896",TRAVESSA,DOS ANDRADAS,9443,FUNDOS,JARDIM AMÉRICA,30516-755,MG,3106200,31,48665788,31,53636490,,,contato@globalmebeloho.com.br,,
59365444,7480,32,1,GLOBAL EIRELI,02,20240625,REORGANIZACAO SOCIETARIA,,,19941029,8240947,"6931161,2170365,7790593",ESTRADA,TIRADENTES,1525,SALA 101,JARDIM AMÉRICA,29887-008,ES,3205200,27,37858715,,,,,contato@globaleirelivilave.com.br,,
74842172,9131,41,1,MERCADINHO POPULAR,08,20030606,REGULARIZACAO,,,20010705,6787749,"7576651,7867218",TRAVESSA,DOS ANDRADAS,9829,SALA 101,VILA NOVA,58009-860,PB,2507507,83,61208970,,,,,contato@mercadinhopojoãope.com.br,,contato@mercadinhopojoãope.com.br
45745469,8408,82,1,BETA DO BAIRRO,08,20150506,REORGANIZACAO SOCIETARIA,,,19960818,3202575,"5381137,1464071",AVENIDA,FLORES,5388,FUNDOS,INDUSTRIAL,49989-960,SE,2800308,79,78953708,79,51522750,,,contato@betadobairroaracaj.com.br,,
23387092,3158,06,1,SERVTEC CENTRAL,08,20240224,REGULARIZACAO,,,20110117,3035848,"9593223,7691409,1838003",RODOVIA,TIRADENTES,9127,FUNDOS,SANTA LUZIA,74219-607,GO,5208707,62,58535430,,,,,contato@servteccentrgoiâni.com.br,,
48356322,2668,59,2,GAMA EXPRESS,08,20110918,REGULARIZACAO,,,20090706,2841648,"7437845,3735264,4828433,8132508",RUA,DOS ANDRADAS,8685,LOJA 2,CENTRO,95916-291,RS,4305108,54,99801130,54,89483983,,,contato@gamaexpresscaxias.com.br,,
91351453,4347,12,2,COMERCIAL ME,02,20190924,REORGANIZACAO SOCIETARIA,,,20140828,9171548,"2859582,8969693",RODOVIA,TIRADENTES,3431,FUNDOS,SANTO ANTÔNIO,65340-027,MA,2111300,98,52124810,,,,,contato@comercialmesãoluí.com.br,,
25722525,2034,67,1,MERCADINHO CENTRAL,08,20210611,REGULARIZACAO,,,20130811,1785332,"9555080,1397710",ESTRADA,DOS ANDRADAS,8057,SALA 101,VILA NOVA,69739-445,RR,1400100,95,21455388,,,,,contato@mercadinhoceboavis.com.br,,
58327846,9656,62,2,GLOBAL LTDA,08,20050211,REGULARIZACAO,,,20110728,6166650,"6193278,1431413,6693075,9109916",RUA,FLORES,9077,,SANTO ANTÔNIO,38291-898,MG,3170206,34,74219202,,,,,contato@globalltdauberlâ.com.br,,
84912633,6403,05,2,BETA LTDA,08,20011227,MUDANCA ENDERECO,,,19970629,9465506,"9676924,2829553,7846192,8347689",ESTRADA,SETEMBRO,9042,,VILA NOVA,89072-257,SC,4209102,47,96842796,47,20538214,,,contato@betaltdajoinvi.com.br,,
24586222,4676,13,2,COMERCIAL LTDA,08,20040628,,,,20100705,3614235,9715912,AVENIDA,PAULISTA,1219,,INDUSTRIAL,78819-878,MT,5103403,65,33802290,,,,,contato@comercialltdcuiabá.com.br,contato@comercialltdcuiabá.com.br,
84212996,9611,58,2,MERCADINHO POPULAR,02,20140914,MUDANCA ENDERECO,,,20001116,9197295,"6087268,6809041",ESTRADA,BRASIL,9904,GALPAO,SANTA LUZIA,79401-729,MS,5002704,67,93938291,67,29745133,,,contato@mercadinhopocampog.com.br,,
37877058,1592,39,2,COMERCIAL LTDA,08,20251212,,,,20011021,3366610,"5684346,2047343,1458298,6719720",ALAMEDA,TIRADENTES,6925,SALA 101,JARDIM AMÉRICA,96849-356,RS,4314407,53,79857183,53,59302312,,,contato@comercialltdpelota.com.br,,
28506244,0557,57,1,MERCADINHO MAX,02,20200913,REORGANIZACAO SOCIETARIA,,,19970612,9859060,"3592670,5810833",RUA,GETULIO VARGAS,2404,ANDAR 3,VILA NOVA,74161-080,GO,5208707,62,48086150,,,,,contato@mercadinhomagoiâni.com.br,contato@mercadinhomagoiâni.com.br,
94892391,7010,59,1,ALFA DO BAIRRO,08,20141128,REORGANIZACAO SOCIETARIA,,,20190425,9824031,"9711998,7555035",RUA,PAULISTA,572,SALA 101,CENTRO,89453-331,SC,4209102,47,65432007,,,,,contato@alfadobairrojoinvi.com.br,,
42081603,1041,11,1,DISTRIBUIDORA LTDA,02,20220627,MUDANCA ENDERECO,,,20020706,3042999,"4659985,9019213,2902897",ALAMEDA,SETEMBRO,4800,ANDAR 3,JARDIM AMÉRICA,29323-605,ES,3205002,27,29179073,27,28853752,,,contato@distribuidorserra.com.br,contato@distribuidorserra.com.br,
85440590,9646,97,2,GLOBAL MAX,08,20171127,,,,19900208,8906166,7440010,RUA,FLORES,7028,GALPAO,SANTA LUZIA,59135-207,RN,2408102,84,53569707,,,84,80968266,contato@globalmaxnatal.com.br,,
53773276,4117,46,2,GAMA ME,08,20150528,MUDANCA ENDERECO,,,20100430,2847865,"5017136,8586725,1344855,5897954",RODOVIA,TIRADENTES,5391,GALPAO,SANTA LUZIA,30780-471,MG,3106200,31,69645179,31,99412682,,,contato@gamamebeloho.com.br,,
47347699,6343,02,2,MERCADINHO MAX,08,20160803,,,,20140429,8214615,"9010643,5525208,5981262,6290717",TRAVESSA,DOS ANDRADAS,1876,LOJA 2,INDUSTRIAL,30385-855,MG,3106200,31,64441959,,,,,contato@mercadinhomabeloho.com.br,,
57661940,0117,01,2,LOJA ME,02,20110530,,,,20221231,4303389,"4151882,5354385,9777198,4210016",RODOVIA,SETEMBRO,2044,FUNDOS,JARDIM AMÉRICA,66587-527,PA,1501402,91,74631583,91,23944788,,,contato@lojamebelém.com.br,contato@lojame2belém.com.br,
89859624,6732,45,2,ALFA EIRELI,02,20070613,REORGANIZACAO SOCIETARIA,,,20140520,9411039,"9962049,9284960",AVENIDA,FLORES,1950,SALA 101,JARDIM AMÉRICA,50039-561,PE,2611606,81,77919783,,,,,contato@alfaeirelirecife.com.br,,
37436581,7015,89,1,GLOBAL LTDA,08,20050310,,,,20060904,8258746,"6111142,5409352",AVENIDA,TIRADENTES,9632,FUNDOS,INDUSTRIAL,29817-713,ES,3205002,27,37094041,27,21059619,,,contato@globalltdaserra.com.br,,
79491182,8443,06,1,ALFA CENTRAL,02,20230720,REORGANIZACAO SOCIETARIA,,,19920613,8265406,5813673,ALAMEDA,DOS ANDRADAS,4110,GALPAO,SÃO JOSÉ,29156-829,ES,3205200,27,24581207,27,28991021,,,contato@alfacentralvilave.com.br,,
70941842,3639,44,1,ALFA EXPRESS,02,20130211,REORGANIZACAO SOCIETARIA,,,20181028,7512427,"2940369,6711813",RODOVIA,PAULISTA,662,FUNDOS,JARDIM AMÉRICA,80478-292,PR,4106902,41,39273356,,,,,contato@alfaexpresscuriti.com.br,,
07778748,6237,53,1,GAMA EIRELI,08,20241124,MUDANCA ENDERECO,,,20230128,5660061,3605214,RUA,TIRADENTES,957,FUNDOS,BOA VISTA,96734-337,RS,4314407,53,80781352,,,,,contato@gamaeirelipelota.com.br,,
51756593,1713,50,1,SERVTEC CENTRAL,02,20031026,REGULARIZACAO,,,20240225,5443778,5162065,TRAVESSA,SETEMBRO,2959,,CENTRO,49029-736,SE,2800308,79,67037563,79,32736631,,,contato@servteccentraracaj.com.br,contato@servteccentraracaj.com.br,
32386345,9132,13,2,BETA DO BAIRRO,02,20060623,MUDANCA ENDERECO,,,19940306,6540070,7491878,ESTRADA,PAULISTA,3217,GALPAO,CENTRO,79881-244,MS,5002704,67,84771001,67,23745648,,,contato@betadobairrocampog.com.br,,
54503422,5544,75,1,MERCADINHO LTDA,08,20090328,,,,20070810,8196042,"8684365,3654837",TRAVESSA,RIO BRANCO,5725,ANDAR 3,BOA VISTA,74980-437,GO,5208707,62,60238062,,,,,contato@mercadinholtgoiâni.com.br,,
47602635,6657,56,2,MERCADINHO EIRELI,08,20160912,REGULARIZACAO,,,20160104,7507640,"9705956,9480932,6425838",AVENIDA,SETEMBRO,3569,SALA 101,JARDIM AMÉRICA,66775-311,PA,1501402,91,25758029,,,,,contato@mercadinhoeibelém.com.br,,
53175588,9236,25,1,MERCADINHO MAX,02,20021124,,,,20011003,2386980,8500960,AVENIDA,TIRADENTES,9201,SALA 101,SANTO ANTÔNIO,70293-417,DF,5300108,61,48447262,,,,,contato@mercadinhomabrasíl.com.br,,
21217066,0126,97,2,LOJA POPULAR,08,20200216,REGULARIZACAO,,,20080305,3428081,"5273445,7681935,4184790",AVENIDA,FLORES,1970,,BOA VISTA,77967-140,TO,1721000,63,63128473,63,58686342,,,contato@lojapopularpalmas.com.br,,
51880950,9992,28,1,SERVTEC EXPRESS,02,20030413,REGULARIZACAO,,,20230113,7339776,"9885366,5642929,9121757",TRAVESSA,BRASIL,7706,FUNDOS,JARDIM AMÉRICA,59770-783,RN,2408102,84,95195612,,,,,contato@servtecexprenatal.com.br,contato@servtecexprenatal.com.br,
87030560,3073,18,2,BRASIL EIRELI,02,20220331,REGULARIZACAO,,,19990105,6742533,"5936792,3825896,3627144",RODOVIA,FLORES,6925,ANDAR 3,SANTO ANTÔNIO,68848-315,AP,1600303,96,74064124,,,,,contato@brasileirelimacapá.com.br,,
62419437,1668,18,1,GAMA POPULAR,02,20210401,REORGANIZACAO SOCIETARIA,,,19920927,4390742,"3887296,8357804,7133066",ESTRADA,FLORES,1368,GALPAO,SANTO ANTÔNIO,20568-409,RJ,3304557,21,96214553,,,,,contato@gamapopularriodej.com.br,,
90936006,2191,20,2,ALFA EXPRESS,02,20150424,REGULARIZACAO,,,19931211,4037099,"5828426,9100706",RUA,DOS ANDRADAS,7118,LOJA 2,INDUSTRIAL,66918-249,PA,1501402,91,59863875,,,,,contato@alfaexpressbelém.com.br,,
